,Marca temporal,Dirección de correo electrónico,Escribe el nombre del taller ,El lenguaje de los taller fue adecuado ,Se distinguió los objetivos del taller,Fueron claras las instrucciones de los talleres,¿Qué tan ameno te pareció el taller?,Los talleres te motivaron a seguir indagando en el tema,Si tienes comentarios y/o sugerencias acerca de los talleres son bienvenidos.,El lenguaje de las secuencias didácticas te pareció apropiado,Se distinguió los objetivos de las secuencias didácticas,Fueron claros los conceptos que se formalizaron en las secuencias didácticas,¿Qué tan complicado te pareció la formalización de los conceptos en las secuencias didácticas?,¿Qué tan apropiado fue introducir los conceptos formales a partir de los talleres?,Si tienes comentarios y/o sugerencias son bienvenidos,El lenguaje de los talleres fue adecuado ,Se distinguieron los objetivos del taller
7,21/07/2022 12:07:13,,Ecuación para calcular el fin del mundo,4.0,4.0,4,4,3,"Todo bien, sólo hubo unas partes que no entendí.",Mucho,Mucho,Poco,Mucho,Mucho,Todo bien,,
8,21/07/2022 12:08:30,,Un algoritmo para calcular el día del fin del mundo ,2.0,1.0,1,1,2,"No tengo ningún comentario, el taller lo encontré bastante cómodo y los instructores fueron bastante amables, fueron unas horas bastante amenas.",Mucho,Mucho,Mucho,Poco,Poco,"No quedaría demás que los materiales visuales o de apoyo fueran compartidos después de cada sesión para poder retomarlos o en su caso, considerando problemas de conexión, poder comprender en su totalidad los conceptos vistos en el momento.",,
9,21/07/2022 12:09:01,,Un algoritmo para calcular el día del fin del mundo,4.0,5.0,4,5,5,nop :)),Mucho,Mucho,Poco,Mucho,Mucho,:)),,
10,21/07/2022 14:08:17,,Un algoritmo para calcular el fin del mundo ,2.0,1.0,1,2,2,"Practicar antes un poco mas lo que van a decir para no ponerse nerviosos y hablar mas fluido. Dieron muy buenas clases, felicidades(:",Mucho,Mucho,Mucho,Poco,Mucho,.,,
11,21/07/2022 16:32:33,,Un algoritmo para calcular el día del fin del mundo,1.0,1.0,1,1,1,Muy bien los chicos que nos explicaron,Mucho,Mucho,Mucho,Poco,Mucho,"Es un tema algo difícil de entender, pero para habernos explicado en tan poco tiempo lo hicieron bien y me motivaron a investigar del tema",,
0,21/07/2022 12:09:11,,Juego del grafimar,2.0,1.0,1,1,2,...,Mucho,Mucho,Mucho,Poco,Mucho,...,,
1,21/07/2022 12:09:41,,el juego del grafimar,1.0,2.0,1,1,1,creo que se pueden ver un poco más de teoría ,Mucho,Mucho,Mucho,Poco,Mucho,Me parece que se puede ver de manera mas formal los temas ,,
2,21/07/2022 12:10:00,,Juego del Grafimar  (Teoría de Grafos),1.0,1.0,1,1,1,Estaría bien que dieran un poco más de teoría,Mucho,Mucho,Mucho,Mucho,Mucho,Que dieran un poco más de teoría,,
3,21/07/2022 12:10:10,,El juego del Grafimar,1.0,1.0,1,2,1,"En general fue bastante ameno y me pareció una idea bastante creativa, además de que me aclaro los conceptos",Mucho,Mucho,Mucho,Poco,Mucho,.,,
4,21/07/2022 12:10:19,,Juego del grafimar ,1.0,1.0,1,1,1,La verdad es que todo fue muy agradable y claro. No hacen que nada sea tedioso y eso es muy satisfactorio ,Mucho,Mucho,Mucho,Poco,Mucho,10000 de 10 :3,,
5,21/07/2022 12:10:27,,El juego del grafimar ,1.0,2.0,1,1,1,"Me gustó que no fuera una clase convencional, me gustó que nos dejaran resolver problemas y nos invitaran a pensar y a intuir el tema de forma natural",Mucho,Mucho,Mucho,Poco,Mucho,.,,
6,21/07/2022 12:10:41,,El juego del grafimar,1.0,1.0,1,1,1,Me gusto mucho el taller porque aprendí nuevos conceptos acerca de las gráficas,Mucho,Mucho,Mucho,Poco,Poco,Me gusto mucho pero me hubiera gustado que ese taller durara más tiempo,,
7,21/07/2022 12:12:04,,El juego del grafimar ,1.0,2.0,1,1,2,"Me gustó la manera dinámica en la que se realizaron, hicieron la clase bastante amena.",Mucho,Poco,Mucho,Poco,Mucho,Ninguno :),,
8,21/07/2022 12:12:32,,Juego del Grafimar,1.0,2.0,2,1,2,"Faltó un poco más de explicación, ya que solo se dio la teoría concluidos los juegos, creo que hubiera sido mejor dar un poco de teoría cada día para poder relacionar el tema mientras hacíamos los juegos, por lo demás bastante bien :)  ",Mucho,Mucho,Mucho,Mucho,Mucho,"Hubiera sido bueno algún glosario con los conceptos formales, ayudaría mucho a que los apuntes fueran precisos, lo demás bastante bien en cuanto a los conceptos manejados :) ",,
9,21/07/2022 12:13:23,,El juego del grafimar ,4.0,4.0,4,4,1,ninguno,Mucho,Mucho,Mucho,Mucho,Mucho,ninguno,,
10,21/07/2022 12:13:24,,Juego del Grafimar G10,1.0,1.0,2,1,1,Posiblemente que sea más dinámico. ,Mucho,Mucho,Mucho,Poco,Mucho,Ninguna.,,
11,21/07/2022 12:14:32,,El juego del grafimar,2.0,2.0,2,2,2,Ya lo respondí en otra encuesta de ellos,Mucho,Mucho,Mucho,Poco,Mucho,Igual pensar en algo intermedio entre lo formal y el juego sería bueno verlo en forma de reto (pero no como ejercicio al lector),,
0,21/07/2022 9:10:09,,¿Leonardo Di Caprio es perfecto?,1.0,2.0,1,1,1,Interesante taller,Mucho,Mucho,Mucho,Poco,Mucho,/,,
1,21/07/2022 9:10:38,,¿Leonardo Dicaprio es perfecto?,1.0,1.0,1,1,1,"Fue un ambiente muy cómodo y respetuoso, con mucha disposición a ayudar. ",Mucho,Mucho,Mucho,Poco,Mucho,"Explicaciones claras, se tomaron el tiempo para resolver dudas y dar varios ejemplos.",,
2,21/07/2022 9:10:44,,¿Leonardo Di caprio es perfecto?,1.0,1.0,1,1,1,"Todo muy bien, dinámico y buenas explicaciones ",Mucho,Mucho,Mucho,Poco,Mucho,Se entendieron todos los conceptos ,,
3,21/07/2022 9:10:50,,¿Leonardo Di caprio es perfecto?,1.0,1.0,1,1,1,Fueron amables y explicaron de una manera fácil de entender.,Mucho,Mucho,Mucho,Poco,Mucho,Todo bien.,,
4,21/07/2022 9:11:57,,Propedéutico Facultad de Ciencias ,1.0,2.0,1,1,1,Didácticos y entretenidos ,Mucho,Mucho,Mucho,Poco,Mucho,Gran idea realizar este taller ,,
5,21/07/2022 9:12:26,,Leonardo Di Caprio es perfecto?,1.0,1.0,1,2,1,"Me gustó bastante el taller, sin embargo considero que hace falta algo de organización respecto al material compartido como el tener listo los cuestionarios. Y de algún modo motivar a todos a participar (alumnos) :c porque es bien triste que solo contestemos algunos.",Mucho,Mucho,Mucho,Poco,Mucho,Me gustó la forma en que nos explicaron los temas C:,,
6,21/07/2022 9:12:35,,Propedéutico facultad de ciencias ,5.0,4.0,4,5,4,Ninguno,Mucho,Mucho,Mucho,Poco,Mucho,Ninguno,,
7,21/07/2022 9:12:50,,¿Leonardo Di caprio es perfecto?,1.0,1.0,1,1,1,Me pareció un excelente taller ,Mucho,Mucho,Mucho,Poco,Poco,Me gustó la forma de integrar conceptos,,
8,21/07/2022 9:12:54,,¿Leonardo Di Caprio es perfecto?,1.0,1.0,1,1,1,Me agradó la disposición de los instructores de ayudar y para resolver dudas,Mucho,Mucho,Mucho,Poco,Mucho,Me gustó que la secuencia didactica fue muy interesante y amena,,
9,21/07/2022 9:12:58,,¿Leonardo Di Caprio es perfecto?,2.0,1.0,1,2,1,"Mas que nada lo complicado es que a veces los alumnos no hablamos o algo así, obviamente por ser formato en linea, pero fuera de esto todo el taller me pareció muy bueno",Mucho,Mucho,Mucho,Poco,Mucho,todo bien :),,
10,21/07/2022 9:13:03,,¿Leonardo DiCaprio es perfecto?,1.0,1.0,1,1,1,"Me gustó mucho el taller, explicaron todo muy bien y siempre buscaron que todos entendiéramos bien el tema. ",Mucho,Mucho,Mucho,Poco,Mucho,Las presentaciones fueron muy claras y por lo tanto hicieron que para mi fuera más fácil entender el tema.,,
11,21/07/2022 9:14:38,,¿Leonardo Di caprio es perfecto?,1.0,2.0,1,1,2,"Fue un taller interesante, toco temas que solamente había escuchado, aunque con lo expuesto en el taller no abarcan todo, sin embargo te dan una pequeña introducción a lo que seria el tema en general.  ",Mucho,Mucho,Mucho,Poco,Mucho,"Los materiales o temas ocupados a lo largo del taller si tenian una relación entre si, haciendo mas fácil de comprender de que es lo que se esta hablando",,
12,21/07/2022 9:17:19,,Cursos Propedéuticos Facultad de Ciencias,4.0,4.0,4,4,4,-,Mucho,Mucho,Mucho,Mucho,Mucho,-,,
13,21/07/2022 9:18:10,,Leonardo di caprio ,2.0,1.0,1,1,1,Me parexe que están bien,Mucho,Mucho,Mucho,Poco,Mucho,Ninguno ,,
14,21/07/2022 9:57:18,,¿Leonardo DiCaprio es perfecto?,1.0,1.0,1,1,1,Me pareció un taller muy interesante y útil. ,Mucho,Mucho,Mucho,Poco,Mucho,Ninguno,,
0,21/07/2022 9:13:45,,Scram∅ (Scrampty),1.0,1.0,3,1,1,.,Mucho,Mucho,Mucho,Mucho,Mucho,.,,
1,21/07/2022 9:14:57,,Scrampin,2.0,2.0,1,2,2,Todo bien :),Mucho,Mucho,Mucho,Poco,Mucho,Todo claro,,
2,21/07/2022 9:15:54,,Conjuntos,1.0,1.0,1,1,1,Ninguna ,Mucho,Mucho,Mucho,Poco,Mucho,Ninguna ,,
3,21/07/2022 9:16:49,,Leonardo di caprino es perfecto?,1.0,1.0,2,2,1,Estuvo súper 🤩❤️,Mucho,Mucho,Mucho,Mucho,Mucho,👍🏻👍🏻❤️,,
4,21/07/2022 9:16:51,,Scram∅ (Scrampty),1.0,1.0,2,1,2,En general siento que las actividades estuvieron muy bien y fueron entretenidas.,Mucho,Mucho,Mucho,Poco,Mucho,Me pareció una forma muy amena de dar a entender los conceptos.,,
5,21/07/2022 9:16:52,,Scrampty,1.0,2.0,2,1,2,Fue un bueno taller ,Mucho,Mucho,Mucho,Poco,Poco,.,,
6,21/07/2022 9:17:16,,Scram∅,4.0,5.0,5,5,5,.,Mucho,Mucho,Mucho,Mucho,Mucho,.,,
7,21/07/2022 9:17:42,,Scrampty,2.0,2.0,1,1,1,No.,Mucho,Mucho,Mucho,Mucho,Mucho,No.,,
8,21/07/2022 9:18:37,,scrampty,5.0,5.0,2,1,2,"El taller fue muy ameno, fácil y divertido",Mucho,Mucho,Mucho,Poco,Mucho,Me gustó mucho jugar scrable,,
9,21/07/2022 9:18:38,,Cursos Propedeuticos Ciencias,1.0,2.0,1,2,1,"Las primeras sesiones me gustaron mucho, las  explicaciones siempre trataron de ser claras y las actividades, de igual manera, ayudaron a comprender mejor el tema.",Mucho,Mucho,Mucho,Poco,Mucho,"Me gustaron las primeras clases del taller, todo ha sido claro y los ejemplos y actividades ayudaron muchisimo a comprender mejor los temas.",,
10,21/07/2022 9:19:53,,Curso propedéutico 2022,2.0,2.0,1,2,1,El taller fue muy ameno y fueron claros siempre,Mucho,Mucho,Mucho,Poco,Mucho,Dentro del taller siempre hubo mucha actividad didáctica y fueron amables todo el tiempo,,
